flags,utterance,category,intent,Column1,Column2
BM,I have problems with canceling an order,ORDER,cancel_order,"Classify the Intent of the Dialogue.

Dialogue: I have problems with canceling an order

Intent: cancel_order

<|endoftext|>","Classify the Category of the Dialogue.

Dialogue: I have problems with canceling an order

Category: ORDER

<|endoftext|>"
BIM,how can I find information about canceling orders?,ORDER,cancel_order,"Classify the Intent of the Dialogue.

Dialogue: how can I find information about canceling orders?

Intent: cancel_order

<|endoftext|>","Classify the Category of the Dialogue.

Dialogue: how can I find information about canceling orders?

Category: ORDER

<|endoftext|>"
B,I need help with canceling the last order,ORDER,cancel_order,"Classify the Intent of the Dialogue.

Dialogue: I need help with canceling the last order

Intent: cancel_order

<|endoftext|>","Classify the Category of the Dialogue.

Dialogue: I need help with canceling the last order

Category: ORDER

<|endoftext|>"
BIP,could you help me cancelling the last order I made?,ORDER,cancel_order,"Classify the Intent of the Dialogue.

Dialogue: could you help me cancelling the last order I made?

Intent: cancel_order

<|endoftext|>","Classify the Category of the Dialogue.

Dialogue: could you help me cancelling the last order I made?

Category: ORDER

<|endoftext|>"
B,problem with cancelling an order I made,ORDER,cancel_order,"Classify the Intent of the Dialogue.

Dialogue: problem with cancelling an order I made

Intent: cancel_order

<|endoftext|>","Classify the Category of the Dialogue.

Dialogue: problem with cancelling an order I made

Category: ORDER

<|endoftext|>"
BI,can you help me canceling my last order?,ORDER,cancel_order,"Classify the Intent of the Dialogue.

Dialogue: can you help me canceling my last order?

Intent: cancel_order

<|endoftext|>","Classify the Category of the Dialogue.

Dialogue: can you help me canceling my last order?

Category: ORDER

<|endoftext|>"
BE,I do not know how to cancel the last order I have made,ORDER,cancel_order,"Classify the Intent of the Dialogue.

Dialogue: I do not know how to cancel the last order I have made

Intent: cancel_order

<|endoftext|>","Classify the Category of the Dialogue.

Dialogue: I do not know how to cancel the last order I have made

Category: ORDER

<|endoftext|>"
BM,problems with canceling my orders,ORDER,cancel_order,"Classify the Intent of the Dialogue.

Dialogue: problems with canceling my orders

Intent: cancel_order

<|endoftext|>","Classify the Category of the Dialogue.

Dialogue: problems with canceling my orders

Category: ORDER

<|endoftext|>"
BM,I have problems with cancelling the last order I have made,ORDER,cancel_order,"Classify the Intent of the Dialogue.

Dialogue: I have problems with cancelling the last order I have made

Intent: cancel_order

<|endoftext|>","Classify the Category of the Dialogue.

Dialogue: I have problems with cancelling the last order I have made

Category: ORDER

<|endoftext|>"
BIMP,could you give me information about order cancellations?,ORDER,cancel_order,"Classify the Intent of the Dialogue.

Dialogue: could you give me information about order cancellations?

Intent: cancel_order

<|endoftext|>","Classify the Category of the Dialogue.

Dialogue: could you give me information about order cancellations?

Category: ORDER

<|endoftext|>"
B,I need help canceling the last order I have made,ORDER,cancel_order,"Classify the Intent of the Dialogue.

Dialogue: I need help canceling the last order I have made

Intent: cancel_order

<|endoftext|>","Classify the Category of the Dialogue.

Dialogue: I need help canceling the last order I have made

Category: ORDER

<|endoftext|>"
B,I need help with cancelling the order I made,ORDER,cancel_order,"Classify the Intent of the Dialogue.

Dialogue: I need help with cancelling the order I made

Intent: cancel_order

<|endoftext|>","Classify the Category of the Dialogue.

Dialogue: I need help with cancelling the order I made

Category: ORDER

<|endoftext|>"
BE,I do not want the order,ORDER,cancel_order,"Classify the Intent of the Dialogue.

Dialogue: I do not want the order

Intent: cancel_order

<|endoftext|>","Classify the Category of the Dialogue.

Dialogue: I do not want the order

Category: ORDER

<|endoftext|>"
BIP,how could I find information about cancelling an order?,ORDER,cancel_order,"Classify the Intent of the Dialogue.

Dialogue: how could I find information about cancelling an order?

Intent: cancel_order

<|endoftext|>","Classify the Category of the Dialogue.

Dialogue: how could I find information about cancelling an order?

Category: ORDER

<|endoftext|>"
BIMP,would you give me information about order cancellations?,ORDER,cancel_order,"Classify the Intent of the Dialogue.

Dialogue: would you give me information about order cancellations?

Intent: cancel_order

<|endoftext|>","Classify the Category of the Dialogue.

Dialogue: would you give me information about order cancellations?

Category: ORDER

<|endoftext|>"
BM,I have problems with cancelling my order,ORDER,cancel_order,"Classify the Intent of the Dialogue.

Dialogue: I have problems with cancelling my order

Intent: cancel_order

<|endoftext|>","Classify the Category of the Dialogue.

Dialogue: I have problems with cancelling my order

Category: ORDER

<|endoftext|>"
BI,how to cancel an order?,ORDER,cancel_order,"Classify the Intent of the Dialogue.

Dialogue: how to cancel an order?

Intent: cancel_order

<|endoftext|>","Classify the Category of the Dialogue.

Dialogue: how to cancel an order?

Category: ORDER

<|endoftext|>"
BM,I have problems with cancelling an order I have made,ORDER,cancel_order,"Classify the Intent of the Dialogue.

Dialogue: I have problems with cancelling an order I have made

Intent: cancel_order

<|endoftext|>","Classify the Category of the Dialogue.

Dialogue: I have problems with cancelling an order I have made

Category: ORDER

<|endoftext|>"
B,assistance with cancelling the order I made,ORDER,cancel_order,"Classify the Intent of the Dialogue.

Dialogue: assistance with cancelling the order I made

Intent: cancel_order

<|endoftext|>","Classify the Category of the Dialogue.

Dialogue: assistance with cancelling the order I made

Category: ORDER

<|endoftext|>"
BI,can you give me information about canceling an order?,ORDER,cancel_order,"Classify the Intent of the Dialogue.

Dialogue: can you give me information about canceling an order?

Intent: cancel_order

<|endoftext|>","Classify the Category of the Dialogue.

Dialogue: can you give me information about canceling an order?

Category: ORDER

<|endoftext|>"
BM,problems with canceling orders,ORDER,cancel_order,"Classify the Intent of the Dialogue.

Dialogue: problems with canceling orders

Intent: cancel_order

<|endoftext|>","Classify the Category of the Dialogue.

Dialogue: problems with canceling orders

Category: ORDER

<|endoftext|>"
BE,I do not know how I can cancel the last order I made,ORDER,cancel_order,"Classify the Intent of the Dialogue.

Dialogue: I do not know how I can cancel the last order I made

Intent: cancel_order

<|endoftext|>","Classify the Category of the Dialogue.

Dialogue: I do not know how I can cancel the last order I made

Category: ORDER

<|endoftext|>"
BP,I would like to cancel the order I made,ORDER,cancel_order,"Classify the Intent of the Dialogue.

Dialogue: I would like to cancel the order I made

Intent: cancel_order

<|endoftext|>","Classify the Category of the Dialogue.

Dialogue: I would like to cancel the order I made

Category: ORDER

<|endoftext|>"
B,I need help canceling an order,ORDER,cancel_order,"Classify the Intent of the Dialogue.

Dialogue: I need help canceling an order

Intent: cancel_order

<|endoftext|>","Classify the Category of the Dialogue.

Dialogue: I need help canceling an order

Category: ORDER

<|endoftext|>"
BIP,how could I get information about cancelling an order?,ORDER,cancel_order,"Classify the Intent of the Dialogue.

Dialogue: how could I get information about cancelling an order?

Intent: cancel_order

<|endoftext|>","Classify the Category of the Dialogue.

Dialogue: how could I get information about cancelling an order?

Category: ORDER

<|endoftext|>"
B,I need help cancelling an order I made,ORDER,cancel_order,"Classify the Intent of the Dialogue.

Dialogue: I need help cancelling an order I made

Intent: cancel_order

<|endoftext|>","Classify the Category of the Dialogue.

Dialogue: I need help cancelling an order I made

Category: ORDER

<|endoftext|>"
BM,I have problems with cancelling orders,ORDER,cancel_order,"Classify the Intent of the Dialogue.

Dialogue: I have problems with cancelling orders

Intent: cancel_order

<|endoftext|>","Classify the Category of the Dialogue.

Dialogue: I have problems with cancelling orders

Category: ORDER

<|endoftext|>"
B,I have a question about canceling an order,ORDER,cancel_order,"Classify the Intent of the Dialogue.

Dialogue: I have a question about canceling an order

Intent: cancel_order

<|endoftext|>","Classify the Category of the Dialogue.

Dialogue: I have a question about canceling an order

Category: ORDER

<|endoftext|>"
BM,problem with cancelling orders,ORDER,cancel_order,"Classify the Intent of the Dialogue.

Dialogue: problem with cancelling orders

Intent: cancel_order

<|endoftext|>","Classify the Category of the Dialogue.

Dialogue: problem with cancelling orders

Category: ORDER

<|endoftext|>"
BM,problems with cancelling an order,ORDER,cancel_order,"Classify the Intent of the Dialogue.

Dialogue: problems with cancelling an order

Intent: cancel_order

<|endoftext|>","Classify the Category of the Dialogue.

Dialogue: problems with cancelling an order

Category: ORDER

<|endoftext|>"
BIP,how could I cancel an order?,ORDER,cancel_order,"Classify the Intent of the Dialogue.

Dialogue: how could I cancel an order?

Intent: cancel_order

<|endoftext|>","Classify the Category of the Dialogue.

Dialogue: how could I cancel an order?

Category: ORDER

<|endoftext|>"
BIMP,where could I get information about order cancellations?,ORDER,cancel_order,"Classify the Intent of the Dialogue.

Dialogue: where could I get information about order cancellations?

Intent: cancel_order

<|endoftext|>","Classify the Category of the Dialogue.

Dialogue: where could I get information about order cancellations?

Category: ORDER

<|endoftext|>"
B,I can't pay for the order,ORDER,cancel_order,"Classify the Intent of the Dialogue.

Dialogue: I can't pay for the order

Intent: cancel_order

<|endoftext|>","Classify the Category of the Dialogue.

Dialogue: I can't pay for the order

Category: ORDER

<|endoftext|>"
B,I need assistance cancelling an order I made,ORDER,cancel_order,"Classify the Intent of the Dialogue.

Dialogue: I need assistance cancelling an order I made

Intent: cancel_order

<|endoftext|>","Classify the Category of the Dialogue.

Dialogue: I need assistance cancelling an order I made

Category: ORDER

<|endoftext|>"
BEM,I am trying to find information about order cancelations,ORDER,cancel_order,"Classify the Intent of the Dialogue.

Dialogue: I am trying to find information about order cancelations

Intent: cancel_order

<|endoftext|>","Classify the Category of the Dialogue.

Dialogue: I am trying to find information about order cancelations

Category: ORDER

<|endoftext|>"
B,I want help cancelling an order I have made,ORDER,cancel_order,"Classify the Intent of the Dialogue.

Dialogue: I want help cancelling an order I have made

Intent: cancel_order

<|endoftext|>","Classify the Category of the Dialogue.

Dialogue: I want help cancelling an order I have made

Category: ORDER

<|endoftext|>"
B,I need help with cancelling an order I have made,ORDER,cancel_order,"Classify the Intent of the Dialogue.

Dialogue: I need help with cancelling an order I have made

Intent: cancel_order

<|endoftext|>","Classify the Category of the Dialogue.

Dialogue: I need help with cancelling an order I have made

Category: ORDER

<|endoftext|>"
BI,where to cancel an order I made?,ORDER,cancel_order,"Classify the Intent of the Dialogue.

Dialogue: where to cancel an order I made?

Intent: cancel_order

<|endoftext|>","Classify the Category of the Dialogue.

Dialogue: where to cancel an order I made?

Category: ORDER

<|endoftext|>"
BI,is it possible to cancel my order?,ORDER,cancel_order,"Classify the Intent of the Dialogue.

Dialogue: is it possible to cancel my order?

Intent: cancel_order

<|endoftext|>","Classify the Category of the Dialogue.

Dialogue: is it possible to cancel my order?

Category: ORDER

<|endoftext|>"
BIM,where can I get information about canceling orders?,ORDER,cancel_order,"Classify the Intent of the Dialogue.

Dialogue: where can I get information about canceling orders?

Intent: cancel_order

<|endoftext|>","Classify the Category of the Dialogue.

Dialogue: where can I get information about canceling orders?

Category: ORDER

<|endoftext|>"
B,assistance cancelling an order I have made,ORDER,cancel_order,"Classify the Intent of the Dialogue.

Dialogue: assistance cancelling an order I have made

Intent: cancel_order

<|endoftext|>","Classify the Category of the Dialogue.

Dialogue: assistance cancelling an order I have made

Category: ORDER

<|endoftext|>"
B,assistance canceling the order I have made,ORDER,cancel_order,"Classify the Intent of the Dialogue.

Dialogue: assistance canceling the order I have made

Intent: cancel_order

<|endoftext|>","Classify the Category of the Dialogue.

Dialogue: assistance canceling the order I have made

Category: ORDER

<|endoftext|>"
B,I want to cancel the order I made,ORDER,cancel_order,"Classify the Intent of the Dialogue.

Dialogue: I want to cancel the order I made

Intent: cancel_order

<|endoftext|>","Classify the Category of the Dialogue.

Dialogue: I want to cancel the order I made

Category: ORDER

<|endoftext|>"
BE,I do not know how I can cancel the order I made,ORDER,cancel_order,"Classify the Intent of the Dialogue.

Dialogue: I do not know how I can cancel the order I made

Intent: cancel_order

<|endoftext|>","Classify the Category of the Dialogue.

Dialogue: I do not know how I can cancel the order I made

Category: ORDER

<|endoftext|>"
B,help me to cancel an order I have made,ORDER,cancel_order,"Classify the Intent of the Dialogue.

Dialogue: help me to cancel an order I have made

Intent: cancel_order

<|endoftext|>","Classify the Category of the Dialogue.

Dialogue: help me to cancel an order I have made

Category: ORDER

<|endoftext|>"
BP,I don't know how I could cancel the order I made,ORDER,cancel_order,"Classify the Intent of the Dialogue.

Dialogue: I don't know how I could cancel the order I made

Intent: cancel_order

<|endoftext|>","Classify the Category of the Dialogue.

Dialogue: I don't know how I could cancel the order I made

Category: ORDER

<|endoftext|>"
BI,is it possible to cancel the order I have made?,ORDER,cancel_order,"Classify the Intent of the Dialogue.

Dialogue: is it possible to cancel the order I have made?

Intent: cancel_order

<|endoftext|>","Classify the Category of the Dialogue.

Dialogue: is it possible to cancel the order I have made?

Category: ORDER

<|endoftext|>"
BIMP,would you give me information about canceling orders?,ORDER,cancel_order,"Classify the Intent of the Dialogue.

Dialogue: would you give me information about canceling orders?

Intent: cancel_order

<|endoftext|>","Classify the Category of the Dialogue.

Dialogue: would you give me information about canceling orders?

Category: ORDER

<|endoftext|>"
B,I have a problem with canceling the order I have made,ORDER,cancel_order,"Classify the Intent of the Dialogue.

Dialogue: I have a problem with canceling the order I have made

Intent: cancel_order

<|endoftext|>","Classify the Category of the Dialogue.

Dialogue: I have a problem with canceling the order I have made

Category: ORDER

<|endoftext|>"
B,I need help to cancel the order I made,ORDER,cancel_order,"Classify the Intent of the Dialogue.

Dialogue: I need help to cancel the order I made

Intent: cancel_order

<|endoftext|>","Classify the Category of the Dialogue.

Dialogue: I need help to cancel the order I made

Category: ORDER

<|endoftext|>"
B,I need help to cancel the last order I have made,ORDER,cancel_order,"Classify the Intent of the Dialogue.

Dialogue: I need help to cancel the last order I have made

Intent: cancel_order

<|endoftext|>","Classify the Category of the Dialogue.

Dialogue: I need help to cancel the last order I have made

Category: ORDER

<|endoftext|>"
B,I can't pay for the last order I have made,ORDER,cancel_order,"Classify the Intent of the Dialogue.

Dialogue: I can't pay for the last order I have made

Intent: cancel_order

<|endoftext|>","Classify the Category of the Dialogue.

Dialogue: I can't pay for the last order I have made

Category: ORDER

<|endoftext|>"
BP,I would like to cancel my last order,ORDER,cancel_order,"Classify the Intent of the Dialogue.

Dialogue: I would like to cancel my last order

Intent: cancel_order

<|endoftext|>","Classify the Category of the Dialogue.

Dialogue: I would like to cancel my last order

Category: ORDER

<|endoftext|>"
BI,where can I cancel my order?,ORDER,cancel_order,"Classify the Intent of the Dialogue.

Dialogue: where can I cancel my order?

Intent: cancel_order

<|endoftext|>","Classify the Category of the Dialogue.

Dialogue: where can I cancel my order?

Category: ORDER

<|endoftext|>"
B,help me canceling my order,ORDER,cancel_order,"Classify the Intent of the Dialogue.

Dialogue: help me canceling my order

Intent: cancel_order

<|endoftext|>","Classify the Category of the Dialogue.

Dialogue: help me canceling my order

Category: ORDER

<|endoftext|>"
B,question about canceling my order,ORDER,cancel_order,"Classify the Intent of the Dialogue.

Dialogue: question about canceling my order

Intent: cancel_order

<|endoftext|>","Classify the Category of the Dialogue.

Dialogue: question about canceling my order

Category: ORDER

<|endoftext|>"
B,question about canceling an order,ORDER,cancel_order,"Classify the Intent of the Dialogue.

Dialogue: question about canceling an order

Intent: cancel_order

<|endoftext|>","Classify the Category of the Dialogue.

Dialogue: question about canceling an order

Category: ORDER

<|endoftext|>"
